Angulo;Velocidad;AlcanceX;AlcanceY;Tiempo total
23;12;10,55911634;5,279558168;0,955917134
23;18;23,75801175;11,87900588;1,433875701
23;24;42,23646534;21,11823267;1,911834268
23;30;65,9944771;32,99723855;2,389792835
24;6;2,727136974;1,363568487;0,497537178
24;12;10,9085479;5,454273948;0,995074356
24;18;24,54423277;12,27211638;1,492611534
24;24;43,63419159;21,81709579;1,990148712
24;30;68,17842436;34,08921218;2,48768589
25;6;2,811172268;1,405586134;0,516964235
25;12;11,24468907;5,622344537;1,033928469
25;18;25,30055041;12,65027521;1,550892704
25;24;44,97875629;22,48937815;2,067856938
25;30;70,27930671;35,13965335;2,584821173
26;6;2,891782582;1,445891291;0,536233819
26;12;11,56713033;5,783565164;1,072467637
26;18;26,02604324;13,01302162;1,608701456
26;24;46,26852131;23,13426066;2,144935275
26;30;72,29456455;36,14728228;2,681169094
27;6;2,968869704;1,484434852;0,555340061
27;12;11,87547882;5,937739408;1,110680122
27;18;26,71982734;13,35991367;1,666020183
27;24;47,50191527;23,75095763;2,221360243
27;30;74,2217426;37,1108713;2,776700304
28;6;3,042339716;1,521169858;0,574277141
28;12;12,16935886;6,084679432;1,148554282
28;18;27,38105744;13,69052872;1,722831423
28;24;48,67743545;24,33871773;2,297108564
28;30;76,05849289;38,02924645;2,871385705
29;6;3,112103105;1,556051553;0,593039291
29;12;12,44841242;6,22420621;1,186078582
29;18;28,00892795;14,00446397;1,779117872
29;24;49,79364968;24,89682484;2,372157163
29;30;77,80257763;38,90128881;2,965196454
30;6;3,178074876;1,589037438;0,611620795
30;12;12,71229951;6,356149753;1,22324159
30;18;28,60267389;14,30133694;1,834862385
30;24;50,84919802;25,42459901;2,44648318
30;30;79,45187191;39,72593595;3,058103976
31;6;3,240174653;1,620087326;0,630015994
31;12;12,96069861;6,480349305;1,260031988
31;18;29,16157187;14,58078594;1,890047981
31;24;51,84279444;25,92139722;2,520063975
31;30;81,00436632;40,50218316;3,150079969
32;6;3,298326775;1,649163388;0,648219283
32;12;13,1933071;6,596653551;1,296438567
32;18;29,68494098;14,84247049;1,94465785
32;24;52,77322841;26,3866142;2,592877134
32;30;82,45816939;41,22908469;3,241096417
33;6;3,352460395;1,676230198;0,666225119
33;12;13,40984158;6,70492079;1,332450239
33;18;30,17214356;15,08607178;1,998675358
33;24;53,63936632;26,81968316;2,664900477
33;30;83,81150988;41,90575494;3,331125596
34;6;3,402509558;1,701254779;0,684028016
34;12;13,61003823;6,805019116;1,368056033
34;18;30,62258602;15,31129301;2,052084049
34;24;54,44015293;27,22007646;2,736112066
34;30;85,06273895;42,53136948;3,420140082
35;6;3,448413287;1,724206644;0,701622552
35;12;13,79365315;6,896826575;1,403245104
35;18;31,03571959;15,51785979;2,104867656
35;24;55,1746126;27,5873063;2,806490208
35;30;86,21033218;43,10516609;3,508112761
36;6;3,490115656;1,745057828;0,719003367
36;12;13,96046262;6,980231312;1,438006733
36;18;31,41104091;15,70552045;2,1570101
36;24;55,8418505;27,92092525;2,876013467
36;30;87,2528914;43,6264457;3,595016834
37;6;3,527565857;1,763782928;0,736165166
37;12;14,11026343;7,055131713;1,472330332
37;18;31,74809271;15,87404635;2,208495498
37;24;56,44105371;28,22052685;2,944660664
37;30;88,18914642;44,09457321;3,68082583
38;6;3,560718262;1,780359131;0,753102722
38;12;14,24287305;7,121436523;1,506205444
38;18;32,04646435;16,02323218;2,259308166
38;24;56,97149219;28,48574609;3,012410888
38;30;89,01795654;44,50897827;3,765513611
39;6;3,58953248;1,79476624;0,769810876
39;12;14,35812992;7,17906496;1,539621752
39;18;32,30579232;16,15289616;2,309432628
39;24;57,43251968;28,71625984;3,079243504
39;30;89,73831199;44,869156;3,84905438
40;6;3,613973406;1,806986703;0,786284538
40;12;14,45589362;7,227946811;1,572569076
40;18;32,52576065;16,26288032;2,358853614
40;24;57,82357449;28,91178724;3,145138151
40;30;90,34933514;45,17466757;3,931422689
41;6;3,634011261;1,817005631;0,80251869
41;12;14,53604505;7,268022523;1,60503738
41;18;32,70610135;16,35305068;2,40755607
41;24;58,14418018;29,07209009;3,21007476
